Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
2,Ezekiel Elliott,DAL,RB,304,20.3,1434,4.7,95.6,6,41,73,24,11,1,6
6,Saquon Barkley,NYG,RB,261,16.3,1307,5,81.7,11,78T,50,19.2,16,7,0
23,David Johnson,ARI,RB,258,16.1,940,3.6,58.8,7,53,51,19.8,2,1,2
3,Todd Gurley,LA,RB,256,18.3,1251,4.9,89.4,17,36,70,27.3,11,0,0
17,Adrian Peterson,WAS,RB,251,15.7,1042,4.2,65.1,7,90T,47,18.7,5,3,2
24,Jordan Howard,CHI,RB,250,15.6,935,3.7,58.4,9,42,53,21.2,5,1,2
5,Chris Carson,SEA,RB,247,17.6,1151,4.7,82.2,9,61,61,24.7,8,1,3
4,Joe Mixon,CIN,RB,237,16.9,1168,4.9,83.4,8,51,60,25.3,11,3,0
29,Peyton Barber,TB,RB,234,14.6,871,3.7,54.4,5,28,41,17.5,4,0,1
14,Christian McCaffrey,CAR,RB,219,13.7,1098,5,68.6,7,59,53,24.2,6,3,2
9,James Conner,PIT,RB,215,16.5,973,4.5,74.8,12,30,56,26,9,0,3
15,Derrick Henry,TEN,RB,215,13.4,1059,4.9,66.2,12,99T,51,23.7,4,2,0
12,Lamar Miller,HOU,RB,210,15,973,4.6,69.5,5,97T,36,17.1,6,2,0
11,Sony Michel,NE,RB,209,16.1,931,4.5,71.6,6,34T,54,25.8,4,0,1
7,Marlon Mack,IND,RB,195,16.2,908,4.7,75.7,9,49,50,25.6,7,1,1
22,Alvin Kamara,NO,RB,194,12.9,883,4.6,58.9,14,49T,57,29.4,1,1,0
13,Phillip Lindsay,DEN,RB,192,12.8,1037,5.4,69.1,9,65T,49,25.5,8,3,0
20,Nick Chubb,CLE,RB,192,12,996,5.2,62.2,8,92T,47,24.5,11,4,0
8,Kareem Hunt,KC,RB,181,16.5,824,4.6,74.9,7,45,46,25.4,7,1,0
10,Melvin Gordon,LAC,RB,175,14.6,885,5.1,73.8,10,34T,47,26.9,9,0,0
36,Doug Martin,OAK,RB,172,10.8,723,4.2,45.2,4,29,37,21.5,2,0,3
33,Tevin Coleman,ATL,RB,167,10.4,800,4.8,50,4,65,36,21.6,8,2,1
42,LeSean McCoy,BUF,RB,161,11.5,514,3.2,36.7,3,28T,22,13.7,3,0,0
32,Frank Gore,MIA,RB,156,11.1,722,4.6,51.6,0,39,25,16,5,0,1
51,Dion Lewis,TEN,RB,155,9.7,517,3.3,32.3,1,36,22,14.2,2,0,1
60,LeGarrette Blount,DET,RB,154,9.6,418,2.7,26.1,5,27,25,16.2,2,0,1
25,Matt Breida,SF,RB,153,10.9,814,5.3,58.1,3,66T,36,23.5,10,1,1
52,Alfred Blue,HOU,RB,150,9.4,499,3.3,31.2,2,17,25,16.7,0,0,0